,tce_period,tce_ror,tce_dor,tce_incl,tce_impact,tce_duration,tce_ingress,tce_depth,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_model_snr,tce_model_chisq,tce_robstat,tce_chisq1,tce_chisq2,tce_prad,tce_sma,tce_eqt,tce_steff,tce_slogg,tce_smet,tce_sradius,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_rmesmad,tce_rsnrmes,tce_rminmes,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd
0,0.83185,0.0027042662,1.0220117,25.04,0.926,2.392,0.04453,6.092,0.2818856,0.9843984,-0.8891672,0.2972176,2.95,22280.0,13.41,30740.0,4783.0,0.5099,0.01877,2760.0,6510.0,4.07,-0.24,1.728,4.959,10.41,0.001097,2.416,0.2834,0.6137,1.8485977079e-57,2.271512,-4.180471,0.915663
1,1.09524,0.005439672,3.8340026,86.17,0.2563,2.122,0.01228,34.53,0.3605912,0.737616,-0.567858,0.1660276,10.6,16100.0,10.43,19800.0,2261.0,0.8916,0.02187,2310.0,6328.0,4.15,-0.08,1.502,3.914,9.321,0.374,6.461,1.137,0.5694,9.7174694725e-16,8.228319,-0.2485405,1.204526
2,0.719273,0.0053570051,2.6067476,74.42,0.7,1.521,0.01581,29.68,0.3529232,0.8012172,-0.6755324,0.2176708,8.302,14460.0,9.968,14940.0,2075.0,1.455,0.01766,3330.0,6363.0,3.8,-0.06,2.489,7.494,9.099,8.454e-24,5.155,0.9124,0.4886,1.3169262166e-13,8.749945,-0.2086273,1.272514
3,0.831833,0.0048057828,2.9148341,88.13,0.09536,2.181,0.01053,27.1,0.2818856,0.9843984,-0.8891672,0.2972176,11.95,19200.0,14.52,32210.0,5560.0,0.9062,0.01877,2760.0,6510.0,4.07,-0.24,1.728,5.621,10.03,1.251e-05,8.5,1.192,0.5317,3.8867014508e-45,2.252824,-5.596324,1.112148
4,622.408,0.011713396,400.63642,90.0,0.00319,12.01,0.139,161.3,0.2752972,1.0216995,-0.9528764,0.3250118,3.719,252.6,13.12,667.2,10.86,2.114,1.546,302.0,6609.0,4.11,-0.26,1.654,15.24,9.081,0.01448,12.73,0.4095,0.4821,7.3720985661e-13,9.047263,-1.496304,1.49981
5,8.88492,0.11489522,36.377831,89.91,0.05677,2.078,0.2147,16310.0,0.5702584,-0.2570312,0.9047128,-0.4371792,473.3,2783.0,548.0,28840.0,1405.0,10.57,0.07859,770.0,5332.0,4.5,-0.08,0.843,113.0,524.0,0.03825,744.4,0.9032,0.005887,0.0,8.060509,-0.1407508,1.147937
6,2.26211,0.0050458702,2.2076606,82.19,0.3,7.509,0.04141,29.41,0.2752972,1.0216995,-0.9528764,0.3250118,9.239,33890.0,14.35,12270.0,1708.0,0.9107,0.03654,1960.0,6609.0,4.11,-0.26,1.654,6.832,8.037,0.001063,5.761,1.15,0.3629,1.0784103822e-11,8.456065,-0.0953495,1.214592
7,5.0926,0.014152152,11.088219,88.45,0.3,3.399,0.05205,246.5,0.5923188,-0.44696,1.1850752,-0.5344602,15.25,5974.0,16.91,1910.0,278.5,1.16,0.05205,844.0,5037.0,4.55,-0.2,0.751,4.69,15.62,0.09946,24.73,0.9766,0.1657,2.5719670298e-51,7.362733,0.0788618,1.034368
8,8.46044,0.41776277,13.746619,85.9,0.9829,4.804,10.66,76500.0,0.1117782,1.3988718,-1.2823762,0.4306218,2368.0,9418.0,4143.0,1056000.0,24870.0,32.09,0.07493,801.0,5923.0,4.64,-1.02,0.704,495.7,3889.0,0.06057,1257.0,0.6088,0.06866,0.0,7.361635,-0.01229667,1.047058
9,4.23022,0.26789425,5.476444,79.49,0.9991,4.606,2.303,28810.0,0.1117782,1.3988718,-1.2823762,0.4306218,1311.0,25770.0,1645.0,223800.0,4155.0,20.58,0.0472,1010.0,5923.0,4.64,-1.02,0.704,170.4,1440.0,0.0,1819.0,0.9104,0.001737,0.0,7.362829,-0.01064386,1.046995
